GO Term,Number of Entries,Name
GO:0030509,199, BMP signaling pathway
GO:0030514,199, negative regulation of BMP signaling pathway
GO:0072593,198, reactive oxygen species metabolic process
GO:0035458,198, cellular response to interferon-beta
GO:0033365,197, protein localization to organelle
GO:0001578,197, microtubule bundle formation
GO:2000114,197, regulation of establishment of cell polarity
GO:0007566,196, embryo implantation
GO:1990869,196, cellular response to chemokine
GO:0140374,196, antiviral innate immune response
GO:0045663,196, positive regulation of myoblast differentiation
GO:0120163,196, negative regulation of cold-induced thermogenesis
GO:0050770,196, regulation of axonogenesis
GO:0060173,195, limb development
GO:0042908,195, xenobiotic transport
GO:0051497,194, negative regulation of stress fiber assembly
GO:0007517,194, muscle organ development
GO:0042752,194, regulation of circadian rhythm
GO:0050927,193, positive regulation of positive chemotaxis
GO:0010761,193, fibroblast migration
GO:0009953,193, dorsal/ventral pattern formation
GO:0071363,193, cellular response to growth factor stimulus
GO:0046907,193, intracellular transport
GO:0008654,192, phospholipid biosynthetic process
GO:0035904,192, aorta development
GO:0048008,192, platelet-derived growth factor receptor signaling pathway
GO:2000060,192, positive regulation of ubiquitin-dependent protein catabolic process
GO:0045921,192, positive regulation of exocytosis
GO:0021680,192, cerebellar Purkinje cell layer development
GO:0031623,191, receptor internalization
GO:0006890,191," retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0007269,191, neurotransmitter secretion
GO:0048286,191, lung alveolus development
GO:0032720,191, negative regulation of tumor necrosis factor production
GO:0031398,191, positive regulation of protein ubiquitination
GO:0008585,191, female gonad development
GO:0030878,190, thyroid gland development
GO:0030282,190, bone mineralization
GO:0048741,190, skeletal muscle fiber development
GO:0045668,190, negative regulation of osteoblast differentiation
GO:0021772,189, olfactory bulb development
GO:0010507,189, negative regulation of autophagy
GO:0021954,189, central nervous system neuron development
GO:0045071,189, negative regulation of viral genome replication
GO:0018107,188, peptidyl-threonine phosphorylation
GO:0036211,188, protein modification process
GO:0071480,187, cellular response to gamma radiation
GO:0003279,187, cardiac septum development
GO:0046856,186, phosphatidylinositol dephosphorylation
GO:0030011,185, maintenance of cell polarity
GO:0045880,185, positive regulation of smoothened signaling pathway
GO:0071625,185, vocalization behavior
GO:0007346,184, regulation of mitotic cell cycle
GO:0006334,184, nucleosome assembly
GO:0045216,184, cell-cell junction organization
GO:0051896,184, regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0071549,184, cellular response to dexamethasone stimulus
GO:0000077,183, DNA damage checkpoint signaling
GO:0030199,183, collagen fibril organization
GO:0051216,183, cartilage development
GO:0021702,183, cerebellar Purkinje cell differentiation
GO:0048714,182, positive regulation of oligodendrocyte differentiation
GO:0014823,182, response to activity
GO:0098869,182, cellular oxidant detoxification
GO:0007596,182, blood coagulation
GO:0050796,182, regulation of insulin secretion
GO:0007193,182, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0006879,182, intracellular iron ion homeostasis
GO:0042491,181, inner ear auditory receptor cell differentiation
GO:0090037,181, positive regulation of protein kinase C signaling
GO:0090630,181, activation of GTPase activity
GO:2000042,181, negative regulation of double-strand break repair via homologous recombination
GO:0050965,181, detection of temperature stimulus involved in sensory perception of pain
GO:0021675,180, nerve development
GO:0035914,180, skeletal muscle cell differentiation
GO:0034394,180, protein localization to cell surface
GO:0014059,180, regulation of dopamine secretion
GO:0010739,180, positive regulation of protein kinase A signaling
GO:0099505,180, regulation of presynaptic membrane potential
GO:0032355,180, response to estradiol
